id	amplitude	channel	depth	firing_rate	group	n_spikes
1	58.70761108	57	40.00000000	6.9 spk/s	mua	26322
2	41.44113541	48	37.00000000	3.1 spk/s	good	12053
3	89.22511292	14	28.00000000	6.7 spk/s	mua	25528
4	32.22581482	8	25.00000000	5.2 spk/s	good	19923
5	41.58523560	41	33.00000000	27.2 spk/s	good	104415
6	59.92002487	57	40.00000000	0.5 spk/s	mua	1745
7	5.89682674	38	58.00000000	0.2 spk/s	noise	650
8	27.90205193	63	51.00000000	3.0 spk/s	good	11560
9	25.55831528	15	21.00000000	0.4 spk/s	noise	1670
13	18.76085281	35	49.00000000	0.1 spk/s	mua	431
16	40.80049133	8	25.00000000	3.0 spk/s	mua	11549
17	30.30603409	20	18.00000000	7.6 spk/s	good	29226
18	34.62635422	15	21.00000000	0.9 spk/s	good	3306
19	24.48923492	45	46.00000000	3.3 spk/s	mua	12665
20	44.61175919	51	43.00000000	4.7 spk/s	good	18178
22	20.94875717	60	53.00000000	0.1 spk/s	mua	218
23	49.31225586	14	28.00000000	13.4 spk/s	good	51402
25	36.16171265	50	38.00000000	3.2 spk/s	mua	12407
26	55.29608154	43	34.00000000	15.2 spk/s	noise	58178
27	37.97312927	14	28.00000000	0.0 spk/s	noise	6
28	28.72710037	35	49.00000000	5.4 spk/s	good	20844
29	30.86839676	49	44.00000000	0.4 spk/s	mua	1454
30	36.21633148	52	39.00000000	3.1 spk/s	good	11711
32	30.46708488	11	23.00000000	0.4 spk/s	noise	1543
33	28.59785461	15	21.00000000	0.2 spk/s	mua	799
34	14.38422680	39	54.00000000	1.8 spk/s	mua	6840
35	37.97312164	14	28.00000000	0.0 spk/s	noise	2
36	49.97737122	43	34.00000000	12.5 spk/s	good	47794
37	44.76327896	48	37.00000000	2.2 spk/s	mua	8583
38	47.03903961	52	39.00000000	0.4 spk/s	mua	1530
40	57.84419250	23	32.00000000	5.9 spk/s	good	22700
42	49.25999832	4	13.00000000	5.3 spk/s	good	20399
43	33.18482208	47	45.00000000	0.9 spk/s	mua	3422
44	27.31396484	47	45.00000000	0.3 spk/s	mua	1045
45	23.67747879	6	24.00000000	0.5 spk/s	noise	1858
46	39.24799347	13	22.00000000	7.6 spk/s	mua	29084
47	24.00180626	3	5.00000000	0.2 spk/s	noise	846
48	50.56242371	41	33.00000000	2.8 spk/s	good	10723
49	34.10249329	1	14.00000000	5.5 spk/s	mua	20923
51	20.18545532	29	16.00000000	6.4 spk/s	good	24347
52	43.16732407	44	35.00000000	17.4 spk/s	good	66823
53	34.28750610	2	12.00000000	2.2 spk/s	good	8414
54	22.96236420	13	22.00000000	0.5 spk/s	noise	1780
55	37.97314453	14	28.00000000	0.0 spk/s	noise	74
56	24.33239746	29	16.00000000	0.9 spk/s	noise	3620
58	25.45353889	15	21.00000000	3.0 spk/s	noise	11660
59	14.71111107	42	47.00000000	0.4 spk/s	noise	1615
61	45.95771027	57	40.00000000	0.2 spk/s	mua	655
64	69.35396576	23	32.00000000	13.3 spk/s	mua	50785
65	31.42712784	40	48.00000000	3.6 spk/s	mua	13776
66	34.77215958	6	24.00000000	0.2 spk/s	mua	584
67	36.80802917	46	36.00000000	2.8 spk/s	good	10882
68	35.24382782	8	25.00000000	2.3 spk/s	mua	8922
69	124.64122009	16	29.00000000	1.2 spk/s	good	4439
70	43.55069733	10	26.00000000	5.9 spk/s	mua	22741
71	21.48256683	10	26.00000000	0.4 spk/s	noise	1380
72	38.80800629	17	20.00000000	6.5 spk/s	good	24719
73	6.41063118	30	2.00000000	0.3 spk/s	mua	1271
74	107.80184937	16	29.00000000	0.2 spk/s	good	755
75	35.21666336	12	27.00000000	1.7 spk/s	good	6587
76	69.51249695	14	28.00000000	1.4 spk/s	good	5202
77	22.07367706	15	21.00000000	0.1 spk/s	noise	476
78	36.23035049	57	40.00000000	0.8 spk/s	mua	2922
79	66.68199921	18	30.00000000	11.6 spk/s	good	44596
80	33.27785492	47	45.00000000	0.3 spk/s	mua	1273
82	58.85747147	4	13.00000000	8.3 spk/s	mua	31890
83	35.03512955	53	42.00000000	3.3 spk/s	mua	12627
84	49.94980240	57	40.00000000	1.5 spk/s	mua	5616
85	25.10522842	35	49.00000000	0.6 spk/s	mua	2385
86	16.05397034	23	32.00000000	1.0 spk/s	noise	3972
87	40.69847107	18	30.00000000	11.6 spk/s	noise	44432
88	40.88871002	48	37.00000000	20.2 spk/s	mua	77263
89	17.71257401	35	49.00000000	0.9 spk/s	noise	3381
90	23.46625900	8	25.00000000	1.1 spk/s	noise	4314
92	37.97313690	14	28.00000000	0.0 spk/s	noise	4
93	25.43257141	30	2.00000000	0.4 spk/s	noise	1465
96	22.22514153	14	28.00000000	0.4 spk/s	noise	1403
97	22.07368851	15	21.00000000	0.1 spk/s	noise	291
99	23.55368996	40	48.00000000	1.5 spk/s	mua	5841
100	41.65514374	55	41.00000000	2.0 spk/s	mua	7480
101	44.89091873	57	40.00000000	2.5 spk/s	mua	9484
102	25.42280388	18	30.00000000	0.5 spk/s	noise	1922
103	18.82054710	63	51.00000000	0.2 spk/s	mua	860
104	6.49275589	3	5.00000000	0.2 spk/s	noise	668
106	35.63967896	6	24.00000000	0.1 spk/s	mua	406
107	44.29009247	57	40.00000000	0.8 spk/s	good	3108
108	22.80262184	4	13.00000000	10.6 spk/s	noise	40571
109	30.43365097	11	23.00000000	2.2 spk/s	mua	8372
110	23.39157867	8	25.00000000	2.4 spk/s	noise	9296
111	30.66872025	49	44.00000000	0.2 spk/s	mua	621
112	24.05988693	10	26.00000000	0.3 spk/s	noise	1150
113	34.23163986	53	42.00000000	2.4 spk/s	mua	9185
114	22.31151962	1	14.00000000	1.7 spk/s	noise	6561
116	49.57800293	57	40.00000000	12.5 spk/s	mua	47905
117	58.45461273	53	42.00000000	9.6 spk/s	good	36804
118	33.11996460	49	44.00000000	0.6 spk/s	mua	2208
119	7.15233231	0	3.00000000	0.1 spk/s	noise	418
120	38.34770966	4	13.00000000	2.1 spk/s	good	7887
121	29.88560867	1	14.00000000	1.4 spk/s	good	5555
123	23.00466537	11	23.00000000	3.2 spk/s	good	12346
125	35.45462036	51	43.00000000	2.2 spk/s	mua	8411
126	22.45825195	6	24.00000000	5.3 spk/s	noise	20298
127	28.32815170	3	5.00000000	4.7 spk/s	noise	17861
128	25.98310280	14	28.00000000	1.2 spk/s	noise	4458
129	24.00180817	3	5.00000000	0.2 spk/s	noise	717
130	37.26216125	12	27.00000000	2.4 spk/s	mua	9303
131	14.30018997	29	16.00000000	0.2 spk/s	noise	764
132	27.04995728	8	25.00000000	0.7 spk/s	noise	2537
133	32.93022156	47	45.00000000	1.1 spk/s	mua	4200
134	20.42943573	35	49.00000000	0.1 spk/s	noise	434
136	36.76094437	55	41.00000000	5.5 spk/s	mua	20928
139	26.96005630	4	13.00000000	4.7 spk/s	good	17978
140	23.25478745	15	21.00000000	2.6 spk/s	noise	9793
141	45.95771790	57	40.00000000	0.4 spk/s	mua	1441
142	25.70191574	44	35.00000000	9.7 spk/s	mua	37359
143	41.26282883	2	12.00000000	2.6 spk/s	good	9929
144	29.10163689	17	20.00000000	1.3 spk/s	good	4838
145	35.63967514	6	24.00000000	0.1 spk/s	mua	389
146	50.75113678	43	34.00000000	1.3 spk/s	good	4992
148	37.44107819	25	10.00000000	7.3 spk/s	mua	28058
149	30.18098450	55	41.00000000	0.2 spk/s	mua	876
152	23.28763580	10	26.00000000	0.5 spk/s	noise	1901
153	13.60495090	23	32.00000000	1.2 spk/s	noise	4504
154	22.75868988	14	28.00000000	1.0 spk/s	noise	3935
155	47.71630096	52	39.00000000	4.0 spk/s	good	15177
156	20.96927071	60	53.00000000	0.2 spk/s	mua	713
157	24.87045670	32	63.00000000	2.3 spk/s	noise	8773
159	20.47128487	63	51.00000000	0.8 spk/s	mua	3191
161	35.23104477	15	21.00000000	1.2 spk/s	mua	4526
162	39.27112579	1	14.00000000	2.6 spk/s	good	10093
163	24.05989075	10	26.00000000	0.1 spk/s	noise	564
165	19.77397537	14	28.00000000	1.8 spk/s	noise	6839
167	36.28484344	20	18.00000000	5.4 spk/s	good	20571
168	20.47128677	63	51.00000000	2.0 spk/s	mua	7722
169	30.86839485	49	44.00000000	0.9 spk/s	mua	3530
170	44.94535828	2	12.00000000	3.2 spk/s	good	12145
171	64.87069702	23	32.00000000	21.8 spk/s	good	83667
172	30.13902664	45	46.00000000	0.4 spk/s	mua	1462
173	36.07901001	50	38.00000000	1.2 spk/s	mua	4542
174	32.40709686	49	44.00000000	1.0 spk/s	mua	4018
175	23.28762817	10	26.00000000	0.2 spk/s	noise	774
177	58.12800598	57	40.00000000	0.7 spk/s	mua	2521
178	24.05989265	10	26.00000000	0.1 spk/s	noise	387
179	21.81468582	33	50.00000000	3.2 spk/s	mua	12075
180	24.00779724	6	24.00000000	1.1 spk/s	noise	4400
181	26.34658051	14	28.00000000	2.5 spk/s	noise	9520
182	36.09946442	55	41.00000000	0.5 spk/s	mua	1769
183	22.61592674	26	7.00000000	0.5 spk/s	mua	1780
184	24.21614456	14	28.00000000	2.5 spk/s	noise	9524
185	23.67746925	6	24.00000000	1.5 spk/s	noise	5616
186	15.28401566	33	50.00000000	0.4 spk/s	mua	1702
187	44.93901443	57	40.00000000	1.1 spk/s	good	4216
188	23.31092834	53	42.00000000	2.0 spk/s	noise	7482
189	48.20822525	4	13.00000000	2.8 spk/s	good	10667
190	49.56568527	48	37.00000000	4.4 spk/s	good	16917
191	23.79617310	28	1.00000000	0.4 spk/s	noise	1392
192	43.52221298	1	14.00000000	19.3 spk/s	good	74133
194	38.22868347	28	1.00000000	15.3 spk/s	good	58650
285	38.46656799	28	1.00000000	15.1 spk/s	good	57870
286	47.84982300	9	11.00000000	23.0 spk/s	good	88129
287	53.01174164	53	42.00000000	12.2 spk/s	good	46680
288	51.18101501	44	35.00000000	8.8 spk/s	good	33671
381	139.38168335	16	29.00000000	13.1 spk/s	good	50167
465	42.14204407	23	32.00000000	8.8 spk/s	good	33761
606	57.82603455	41	33.00000000	12.3 spk/s	good	47134
711	36.08714294	44	35.00000000	0.3 spk/s	good	1261
812	52.25133896	41	33.00000000	2.9 spk/s	good	10936
891	41.91418457	4	13.00000000	2.8 spk/s	good	10901
892	35.21348190	35	49.00000000	1.6 spk/s	good	6044
893	38.17699814	12	27.00000000	1.1 spk/s	good	4178
